KEY,English,Korean
continueMsg,15 more seconds after watching video?,비디오보고 15초 더?
pushtitle00,Congratulations,업무알람
pushlabel00,You did a great job as a new cashier.,곧 근무 시간이 시작되어요. 픽셀 스토어로 오세요 
pushtitle01,From Pixel Store Manager,꿀 알바는 여기
pushlabel01,Time to come back for your shift.,가게 문이 곧 닫을려고 해요! 어서 돌아와 캐셔 업무를 완료해 주세요!
pushtitle02,From Pixel Store Manager,꿈의 직장 픽셀스토어
pushlabel02,Poor Bob is working extensive hours because of your tardiness.,이제 휴가 끝! 픽셀 스토어에서 근무를 시작해 주세요.
pushtitle03,From Pixel Store Manager,꿈의 직장 픽셀스토어
pushlabel03,Time to come back for your shift NOW.,픽셀 스토어 임금이 인상되었어요~ 지금 바로 고고고
pushtitle04,From Pixel Store Manager,웰컴 픽셀 스토어
pushlabel04,Have you forgotten your shift again?,당신의 꿈을 펼치는 곳~! 100만 알바와 함께하는 픽셀스토어로 돌아오세요
pushtitle05,Get a new job!,승진 알람
pushlabel05,Comeback immediately. Otherwise you are fired.,근무 시간을 지켜주세요! 승진이 얼마 안남았습니다.
